name,brand,month,qty,price_unit,total_sales
ALLENDE (QRO),SAM,December,253,3575.0553435162847,904489.00190962
ALLENDE (QRO),SAM,January,237,3510.5487661138823,832000.05756899
ALLENDE (QRO),SAM,November,190,3891.1986954317463,741901.20860901
ALLENDE (QRO),SAM,September,182,4025.9186099744447,729146.3897954
ALLENDE (QRO),SAM,May,140,4572.413283503643,640137.85969051
ALLENDE (QRO),SAM,August,148,4299.017311121824,636254.56204603
ALLENDE (QRO),SAM,July,141,4311.317607272056,607895.78262536
CORREGIDORA 2 (QRO),SAM,May,134,4516.964504451493,605273.2435965
CORREGIDORA 2 (QRO),SAM,July,141,4222.176235192412,595326.84916213
ALLENDE (QRO),MOTO,January,208,2858.291404997681,594251.66083452
ALLENDE (QRO),SAM,October,162,3637.0233974399384,589197.79038527
LEON CENTRO (LEON),SAM,December,196,2987.597864707143,585569.1814826
CORREGIDORA 2 (QRO),SAM,January,140,4057.8827782512144,568103.58895517
LEON CENTRO (LEON),SAM,January,171,3209.4011171394086,547059.47879656
CORREGIDORA 2 (QRO),SAM,December,134,4046.489220277388,542229.55551717
CORREGIDORA 2 (QRO),SAM,April,117,4387.583874442137,513347.31330973003
CORREGIDORA 2 (QRO),SAM,June,109,4692.700101318349,511504.3110437
CORREGIDORA 2 (QRO),SAM,August,110,4495.416748462,494495.84233082
LEON CENTRO (LEON),SAM,August,119,3787.89634885,450759.66551315
ALLENDE (QRO),SAM,June,106,4216.714649179428,445254.17609487
LEON CENTRO (LEON),SAM,September,109,4071.9388389311925,443841.3334435
LEON CENTRO (LEON),SAM,October,112,3931.8322141091962,440365.20798023
HIDALGO (CELAYA),SAM,January,112,3850.8090416424106,431290.61266395
LEON CENTRO (LEON),SAM,July,94,4566.271419185,429229.51340339
ALLENDE (QRO),MOTO,December,123,3486.3696390198356,428008.64596042
LEON CENTRO (LEON),SAM,November,121,3468.362644244298,419671.87995356
LEON CENTRO (LEON),MOTO,January,143,2938.071407795352,419015.61990694
CORREGIDORA 2 (QRO),SAM,September,107,3900.268833282056,417328.76516118
CORREGIDORA 2 (QRO),SAM,October,92,4292.057255845326,394869.26753777
HIDALGO (CELAYA),SAM,August,89,4301.735584804157,382854.46704757
HIDALGO (CELAYA),SAM,July,89,4262.022172867865,379319.97338524
HIDALGO (CELAYA),SAM,December,107,3544.1688139108414,379226.06308846
ALLENDE (QRO),XIAOMI,December,148,2550.684341067847,374967.51511377
ALLENDE (QRO),HONOR,December,99,3734.8749620681815,369752.62124475
HIDALGO (CELAYA),SAM,September,94,3832.5956323856385,360263.98944425
CORREGIDORA 4 (QRO),SAM,July,82,4300.685369264268,352656.20027967
HIDALGO (CELAYA),SAM,June,81,4299.908212429383,348292.56520678
ALLENDE (QRO),HONOR,January,95,3597.242176623369,341738.00677922
ALLENDE (QRO),XIAOMI,January,173,2009.5233423484967,340198.47137931996
CORREGIDORA 4 (QRO),SAM,May,79,4275.107947228102,337733.52783102
ALLENDE (QRO),MOTO,May,73,4525.590026594384,330368.07194139
CORREGIDORA 2 (QRO),MOTO,December,92,3559.3500395806523,327460.20364142
ALLENDE (QRO),MOTO,February,125,2570.14121390368,321267.65173796
PLAZA PATIO (QRO),MOTO,January,110,2905.0640806711926,320013.19479316
PLAZA PATIO (QRO),XIAOMI,December,96,3363.346626461957,318993.40886209
LEON CENTRO (LEON),SAM,May,70,4515.145921181857,316060.21448273
CORREGIDORA 4 (QRO),SAM,June,73,4272.16630174589,311868.14002745
LEON CENTRO (LEON),SAM,June,67,4616.997316513134,309338.82020638
LEON CENTRO (LEON),SAM,April,67,4610.561318630896,308907.60834827
