	name	create_uid
1	ALMACEN CENTRAL	SUC. ALAMEDA (QRO)
2	ALAMEDA (QRO)	SUC. ALLENDE (CELAYA)
3	ALLENDE (CELAYA)	SUC. ALLENDE (QRO)
4	ALLENDE (QRO)	SUC. ALLENDE (QRO)
5	ANDADOR (CELAYA)	SUC. ANDADOR (CELAYA)
6	ANTEA (QRO)	SUC. ANTEA (QRO)
7	BOULEVARES (QRO)	SUC. BOULEVARES (QRO)
8	CONSTITUYENTES (QRO)	SUC. CONSTITUYENTES (QRO)
9	CORREGIDORA 2 (QRO)	SUC. CORREGIDORA 2 (QRO)
10	CORREGIDORA 3 (QRO)	SUC. CORREGIDORA 2 (QRO)
11	CORREGIDORA 4 (QRO)	SUC. CORREGIDORA 3 (QRO)
12	MAYOREO (QRO)	SUC. CORREGIDORA 4 (QRO)
13	FIESTA (IRAPUATO)	SUC. CORREGIDORA 4 (QRO)
14	GALERIAS (QRO)	SUC. FIESTA (IRAPUATO)
15	GUERRERO (QRO)	SUC. GALERIAS (QRO)
16	HIDALGO (CELAYA)	SUC. GUERRERO (QRO)
17	HIDALGO 2 (CELAYA)	SUC. HIDALGO (CELAYA)
18	LA CRUZ (QRO)	SUC. HIDALGO 2 (CELAYA)
19	LA VICTORIA (QRO)	SUC. LA CRUZ (QRO)
20	LEON CENTRO (LEON)	SUC. LA VICTORIA (QRO)
21	MADERO (LEON)	SUC. LEON CENTRO (LEON)
22	MADERO (QRO)	SUC. LEON CENTRO (LEON)
23	OBREGON (LEON)	SUC. MADERO (LEON)
24	PARQUE (CELAYA)	SUC. MADERO (QRO)
25	PARQUE (QRO)	SUC. MAYOREO (QRO)
26	PLAZA MAYOR (LEON)	SUC. OBREGON (LEON)
27	PLAZA PATIO (QRO)	SUC. PARQUE (CELAYA)
28	PORTAL (QRO)	SUC. PARQUE (QRO)
29	URBAN (QRO)	SUC. PLAZA MAYOR (LEON)
30	VALLARTA (VTA)	SUC. PLAZA PATIO (QRO)
31	VIA ALTA SUR (LEON)	SUC. PORTAL (QRO)
