id,name,create_uid
1,ALMACEN CENTRAL,ALMACEN CENTRAL
2,ALAMEDA (QRO),SUC. ALAMEDA (QRO)
6,ALLENDE (CELAYA),SUC. ALLENDE (CELAYA)
7,ALLENDE (QRO),SUC. ALLENDE (QRO)
9,ANDADOR (CELAYA),SUC. ANDADOR (CELAYA)
10,ANTEA (QRO),SUC. ANTEA (QRO)
13,BOULEVARES (QRO),SUC. BOULEVARES (QRO)
15,CONSTITUYENTES (QRO),SUC. CONSTITUYENTES (QRO)
16,CORREGIDORA 2 (QRO),SUC. CORREGIDORA 2 (QRO)
21,CORREGIDORA 3 (QRO),SUC. CORREGIDORA 3 (QRO)
22,CORREGIDORA 4 (QRO),SUC. CORREGIDORA 4 (QRO)
36,MAYOREO (QRO),SUC. MAYOREO (QRO)
26,FIESTA (IRAPUATO),SUC. FIESTA (IRAPUATO)
28,GALERIAS (QRO),SUC. GALERIAS (QRO)
29,GUERRERO (QRO),SUC. GUERRERO (QRO)
33,HIDALGO (CELAYA),SUC. HIDALGO (CELAYA)
31,HIDALGO 2 (CELAYA),SUC. HIDALGO 2 (CELAYA)
24,LA CRUZ (QRO),SUC. LA CRUZ (QRO)
8,LA VICTORIA (QRO),SUC. LA VICTORIA (QRO)
35,LEON CENTRO (LEON),SUC. LEON CENTRO (LEON)
19,MADERO (LEON),SUC. MADERO (LEON)
34,MADERO (QRO),SUC. MADERO (QRO)
30,OBREGON (LEON),SUC. OBREGON (LEON)
27,PARQUE (CELAYA),SUC. PARQUE (CELAYA)
23,PARQUE (QRO),SUC. PARQUE (QRO)
32,PLAZA MAYOR (LEON),SUC. PLAZA MAYOR (LEON)
25,PLAZA PATIO (QRO),SUC. PLAZA PATIO (QRO)
18,PORTAL (QRO),SUC. PORTAL (QRO)
14,URBAN (QRO),SUC. URBAN (QRO)
12,VALLARTA (VTA),SUC. VALLARTA (VTA)
11,VIA ALTA SUR (LEON),SUC. VIA ALTA SUR (LEON)
