product_id,description,date,name,qty,price_unit
26078,XIAOMI REDMI-NOTE-11S 6/128 NGO,2023-02-24,ALLENDE (QRO),1,4568.11
26579,MOTO G41 4/128 DORADO,2023-02-24,ALLENDE (QRO),1,3620.68
26579,MOTO G41 4/128 DORADO,2023-02-24,ALLENDE (QRO),1,3619.8275
26585,MOTO G22 4/128 NEGRO,2023-02-24,PLAZA MAYOR (LEON),1,3878.45
25565,MOTO G60S 6/128 AZUL,2023-02-24,MADERO (LEON),1,4481.89655172
25533,MOTO E20 2/32 AZUL,2023-02-24,CORREGIDORA 3 (QRO),1,2068.10344828
25533,MOTO E20 2/32 AZUL,2023-02-24,MADERO (LEON),1,2068.10344828
30980,MOTO G22 4/128 AZUL,2023-02-24,ALAMEDA (QRO),1,3878.44827586
30908,SAM A04 4/64 NEGRO,2023-02-24,OBREGON (LEON),1,2758.6206
26671,HONOR X8 6/128 PLATA,2023-02-24,ALAMEDA (QRO),1,4481.89655172
29904,MOTO E32 4/64 GRIS,2023-02-24,FIESTA (IRAPUATO),1,3706.03448276
30980,MOTO G22 4/128 AZUL,2023-02-24,HIDALGO 2 (CELAYA),1,3878.4482
25533,MOTO E20 2/32 AZUL,2023-02-24,HIDALGO 2 (CELAYA),1,2499.1379
26070,ZTE A51 2/64 AZUL KIT,2023-02-24,CORREGIDORA 2 (QRO),1,2412.931
25533,MOTO E20 2/32 AZUL,2023-02-24,HIDALGO 2 (CELAYA),1,2499.1379
39901,HONOR X7A 6/128 PLATA,2023-02-24,HIDALGO 2 (CELAYA),1,4050.862
25741,SAM A03S 4/64 AZUL,2023-02-24,ALLENDE (CELAYA),1,2861.2068
26579,MOTO G41 4/128 DORADO,2023-02-24,ALLENDE (CELAYA),1,3619.8275
25563,MOTO G60 6/128 PLATA,2023-02-24,ALLENDE (CELAYA),1,4654.3103
40120,SAM A23 4/64 BLANCO,2023-02-24,CORREGIDORA 2 (QRO),1,4395.6896
25533,MOTO E20 2/32 AZUL,2023-02-24,ALLENDE (CELAYA),1,2068.1034
25536,MOTO E40 4/64 ROSA,2023-02-23,OBREGON (LEON),1,2844.8275
30358,HONOR X6 4/64 PLATA,2023-02-23,PARQUE (QRO),1,3102.58
30980,MOTO G22 4/128 AZUL,2023-02-23,GUERRERO (QRO),1,3878.45
26585,MOTO G22 4/128 NEGRO,2023-02-23,LA VICTORIA (QRO),1,3878.44827586
30980,MOTO G22 4/128 AZUL,2023-02-23,HIDALGO (CELAYA),1,4395.6896
31487,SAM A23 4/64 AZUL,2023-02-23,GUERRERO (QRO),1,4395.69
39901,HONOR X7A 6/128 PLATA,2023-02-23,CORREGIDORA 3 (QRO),1,4050.86206897
