Product_ID,Description,categ_id
19127,ALC 5003A-1C 1/16 NEGRO,DISPOSITIVO / CELULAR / LIBRE
19128,ALC 5003A-1C 1/16 NEGRO,DISPOSITIVO / CELULAR / LIBRE
19129,ALC 5003A-1C 1/16 ROSA,DISPOSITIVO / CELULAR / LIBRE
19130,ALC 5033M 1/16 AZUL,DISPOSITIVO / CELULAR / LIBRE
19131,ALC 5033M 1/16 NEGRO,DISPOSITIVO / CELULAR / LIBRE
19159,APPLE IPHONE-11 4/128 AMA,DISPOSITIVO / CELULAR / LIBRE
19160,APPLE IPHONE-11 4/128 MORADO,DISPOSITIVO / CELULAR / LIBRE
19161,APPLE IPHONE-11 4/128 NEGRO,DISPOSITIVO / CELULAR / LIBRE
19162,APPLE IPHONE-11 4/128 VERDE,DISPOSITIVO / CELULAR / LIBRE
19163,APPLE IPHONE-11 4/64 AMA,DISPOSITIVO / CELULAR / LIBRE
19164,APPLE IPHONE-11 4/64 BCO,DISPOSITIVO / CELULAR / LIBRE
19165,APPLE IPHONE-11 4/64 MORADO,DISPOSITIVO / CELULAR / LIBRE
19166,APPLE IPHONE-11 4/64 NEGRO,DISPOSITIVO / CELULAR / LIBRE
19167,APPLE IPHONE-11 4/64 ROJO,DISPOSITIVO / CELULAR / LIBRE
19168,APPLE IPHONE-11 4/64 VERDE,DISPOSITIVO / CELULAR / LIBRE
19169,APPLE IPHONE-12 4/128 NEGRO,DISPOSITIVO / CELULAR / LIBRE
19170,APPLE IPHONE-12 4/128 VERDE,DISPOSITIVO / CELULAR / LIBRE
19171,APPLE IPHONE-12 4/128 VIOLETA,DISPOSITIVO / CELULAR / LIBRE
19172,APPLE IPHONE-12 4/64 AZUL,DISPOSITIVO / CELULAR / LIBRE
26531,APPLE IPHONE-12 4/64 MORADO,DISPOSITIVO / CELULAR / LIBRE
19173,APPLE IPHONE-12 4/64 NEGRO,DISPOSITIVO / CELULAR / LIBRE
19174,APPLE IPHONE-12-PRO 6/128 DORADO,DISPOSITIVO / CELULAR / LIBRE
19175,APPLE IPHONE-12-PRO 6/128 GRAFITO,DISPOSITIVO / CELULAR / LIBRE
19176,APPLE IPHONE-12-PRO-MAX 6/128 AZUL,DISPOSITIVO / CELULAR / LIBRE
19177,APPLE IPHONE-12-PRO-MAX 6/128 GRAFITO,DISPOSITIVO / CELULAR / LIBRE
19178,APPLE IPHONE-12-PRO-MAX 6/256 AZUL,DISPOSITIVO / CELULAR / LIBRE
19179,APPLE IPHONE-13 4/128 AZUL,DISPOSITIVO / CELULAR / LIBRE
27182,APPLE IPHONE-13 4/128 BLANCO,DISPOSITIVO / CELULAR / LIBRE
19180,APPLE IPHONE-13 4/128 ROJO,DISPOSITIVO / CELULAR / LIBRE
26530,APPLE IPHONE-13 4/128 VERDE,DISPOSITIVO / CELULAR / LIBRE
19157,APPLE IPHONE-13 4/256 AZUL,DISPOSITIVO / CELULAR / LIBRE
19181,APPLE IPHONE-13-PRO 6/128 AZUL,DISPOSITIVO / CELULAR / LIBRE
19182,APPLE IPHONE-13-PRO 6/128 DORADO,DISPOSITIVO / CELULAR / LIBRE
19183,APPLE IPHONE-13-PRO 6/128 GRAFITO,DISPOSITIVO / CELULAR / LIBRE
19184,APPLE IPHONE-13-PRO 6/256 GOLD,DISPOSITIVO / CELULAR / LIBRE
19185,APPLE IPHONE-13-PRO 6/256 GRAFITO,DISPOSITIVO / CELULAR / LIBRE
29651,APPLE IPHONE-13-PRO-MAX 6/128 AZUL,DISPOSITIVO / CELULAR / LIBRE
26607,APPLE IPHONE-13-PRO-MAX 6/128 GRAFITO,DISPOSITIVO / CELULAR / LIBRE
19186,APPLE IPHONE-SE 3/128 BCO,DISPOSITIVO / CELULAR / LIBRE
