id,date,Product_ID,Description,qty,create_uid,price_unit,price_subtotal
11,2022-04-01 16:33:19,19436,BLU C5-2019 1/16 GRIS,1.0,SUC. LA CRUZ (QRO),1206.03,1206.03
12,2022-04-01 16:39:53,25586,MOTO E7I-POWER 2/32 AZUL KIT,1.0,SUC. HIDALGO 2 (CELAYA),2654.31,2654.31
19,2022-04-01 16:53:56,25957,XIAOMI MI SMART BAND 6 NGO,1.0,SUC. HIDALGO 2 (CELAYA),775.0,775.0
23,2022-04-01 17:09:11,25990,XIAOMI REDMI-BUDS-3 BLANCO,1.0,SUC. CONSTITUYENTES (QRO),861.21,861.21
44,2022-04-01 17:44:22,25740,SAM A03-CORE 2/32 NGO,1.0,SUC. CORREGIDORA 3 (QRO),2499.14,2499.14
49,2022-04-01 17:45:44,19100,ADAPTADOR DE CASA BLANCO,1.0,SUC. GUERRERO (QRO),33.62,33.62
58,2022-04-01 18:02:37,25741,SAM A03S 4/64 AZUL,1.0,SUC. PARQUE (QRO),3102.59,3102.59
67,2022-04-01 18:21:20,25605,NOKIA 106 4MB/4MB NEGRO,1.0,SUC. PARQUE (QRO),430.17,430.17
68,2022-04-01 18:24:12,25753,SAM A12 4/64 AZUL,1.0,SUC. CORREGIDORA 2 (QRO),3318.1,3318.1
70,2022-04-01 18:47:06,25556,MOTO G31 4/64 GRIS,1.0,SUC. HIDALGO 2 (CELAYA),4481.9,4481.900000000001
88,2022-04-01 19:15:26,19110,ADAPTADOR LIGHTNING A 3.5,1.0,SUC. CONSTITUYENTES (QRO),111.21,111.21
97,2022-04-01 19:27:47,19881,"ECHO SHOW 5"" ALEXA BLANCA",1.0,SUC. ANTEA (QRO),1464.66,1464.66
101,2022-04-01 19:30:33,25565,MOTO G60S 6/128 AZUL,1.0,SUC. LA VICTORIA (QRO),6809.48,6809.4800000000005
110,2022-04-01 19:56:11,24888,7A19LEDMV200TCW LAMPARA LED A19 7W 127V,1.0,SUC. OBREGON (LEON),137.07,137.07
116,2022-04-01 20:11:05,24797,HISENSE U3 1/16 AZUL,1.0,SUC. PLAZA MAYOR (LEON),1206.03,1206.03
121,2022-04-01 20:15:45,25700,"GAR103 POWER BANK 5,000 mAh 1HORA GAR103",1.0,SUC. ALAMEDA (QRO),154.31,154.31
130,2022-04-01 20:16:59,26040,ZTE L8 1/32 AZUL KIT,1.0,SUC. ALAMEDA (QRO),1206.03,1206.03
134,2022-04-01 20:17:57,25740,SAM A03-CORE 2/32 NGO,1.0,SUC. ALAMEDA (QRO),2499.14,2499.14
138,2022-04-01 20:28:48,26002,XIAOMI REDMI-9A 2/32 VERDE,1.0,SUC. CORREGIDORA 3 (QRO),2326.72,2326.7200000000003
144,2022-04-01 20:30:42,25738,SAM A03 4/64 ROJO,1.0,SUC. FIESTA (IRAPUATO),3447.41,3447.41
153,2022-04-01 20:36:53,25740,SAM A03-CORE 2/32 NGO,1.0,SUC. PARQUE (QRO),2154.31,2154.31
157,2022-04-01 20:41:39,25739,SAM A03-CORE 2/32 AZUL,1.0,SUC. PLAZA MAYOR (LEON),2585.34,2585.34
172,2022-04-01 20:51:53,25610,NOKIA C20 2/32 AZUL,1.0,SUC. FIESTA (IRAPUATO),2154.31,2154.31
176,2022-04-01 20:54:43,19473,BLU TANK-MEGA X/X NEGRO/NARANJA,1.0,SUC. FIESTA (IRAPUATO),602.59,602.59
177,2022-04-01 20:54:58,19474,BLU TANK-MEGA X/X NEGRO/VERDE,1.0,SUC. FIESTA (IRAPUATO),602.59,602.59
178,2022-04-01 20:56:13,19110,ADAPTADOR LIGHTNING A 3.5,1.0,SUC. MADERO (QRO),111.21,111.21
189,2022-04-01 21:26:53,19436,BLU C5-2019 1/16 GRIS,1.0,SUC. ALLENDE (QRO),1206.03,1206.03
193,2022-04-01 21:35:47,24797,HISENSE U3 1/16 AZUL,1.0,SUC. ANTEA (QRO),1206.03,1206.03
197,2022-04-01 21:46:22,25767,SAM A52 6/128 BLANCO,1.0,SUC. LA VICTORIA (QRO),7154.31,7154.31
218,2022-04-01 22:32:05,25755,SAM A12 4/64 NEGRO,1.0,SUC. CORREGIDORA 3 (QRO),3318.1,3318.1
224,2022-04-01 22:38:12,26141,MOTO G71-5G 6/128 VERDE KIT,1.0,SUC. ALAMEDA (QRO),6550.86,6550.860000000001
227,2022-04-01 22:39:31,25648,GAR108 PLUGIN AUTO 1HORA 2PUERTOS GAR108 NEGRO,1.0,SUC. LA VICTORIA (QRO),59.48,59.48
238,2022-04-01 22:59:03,25539,MOTO E6I 2/32 GRIS,1.0,SUC. PARQUE (QRO),2412.93,2412.93
239,2022-04-01 22:59:36,24857,I-MOBIL GSM-IM220 X/X NEGRO/AZUL KIT,1.0,SUC. BOULEVARES (QRO),240.52,240.52
241,2022-04-01 23:08:07,24797,HISENSE U3 1/16 AZUL,1.0,SUC. ALAMEDA (QRO),1206.03,1206.03
256,2022-04-01 23:48:22,26079,XIAOMI REDMI-NOTE-11 4/128 AZUL,1.0,SUC. CORREGIDORA 3 (QRO),4309.48,4309.4800000000005
265,2022-04-01 23:59:05,24795,HISENSE E50 4/128 VERDE,1.0,SUC. ANTEA (QRO),3361.21,3361.21
269,2022-04-02 00:10:12,25737,SAM A03 4/64 NEGRO,1.0,SUC. PLAZA MAYOR (LEON),3447.41,3447.41
320,2022-04-02 00:52:25,19653,CAM6SVCDTCW CAMARA MINI WIFI INTERIOR HD 1080P,1.0,SUC. HIDALGO 2 (CELAYA),861.21,861.21
322,2022-04-02 00:52:43,25610,NOKIA C20 2/32 AZUL,1.0,SUC. ALLENDE (QRO),2154.31,2154.31
