id,date,Product_ID,Description,qty,create_uid,price_unit,price_subtotal
58214,2023-02-24 16:58:30,26078,XIAOMI REDMI-NOTE-11S 6/128 NGO,1.0,SUC. ALLENDE (QRO),4568.11,4568.11
58209,2023-02-24 03:16:27,26579,MOTO G41 4/128 DORADO,1.0,SUC. ALLENDE (QRO),3620.68,3620.68
58205,2023-02-24 03:15:55,26579,MOTO G41 4/128 DORADO,1.0,SUC. ALLENDE (QRO),3619.8275,3619.83
58199,2023-02-24 02:41:35,26585,MOTO G22 4/128 NEGRO,1.0,SUC. PLAZA MAYOR (LEON),3878.45,3878.45
58190,2023-02-24 02:06:33,25565,MOTO G60S 6/128 AZUL,1.0,SUC. MADERO (LEON),4481.89655172,4481.9
58187,2023-02-24 02:06:08,25533,MOTO E20 2/32 AZUL,1.0,SUC. CORREGIDORA 3 (QRO),2068.10344828,2068.1
58185,2023-02-24 02:03:14,25533,MOTO E20 2/32 AZUL,1.0,SUC. MADERO (LEON),2068.10344828,2068.1
58179,2023-02-24 01:49:26,30980,MOTO G22 4/128 AZUL,1.0,SUC. ALAMEDA (QRO),3878.44827586,3878.45
58181,2023-02-24 02:01:19,30908,SAM A04 4/64 NEGRO,1.0,SUC. OBREGON (LEON),2758.6206,2758.62
58176,2023-02-24 01:43:15,26671,HONOR X8 6/128 PLATA,1.0,SUC. ALAMEDA (QRO),4481.89655172,4481.9
58173,2023-02-24 01:29:50,29904,MOTO E32 4/64 GRIS,1.0,SUC. FIESTA (IRAPUATO),3706.03448276,3706.03
58169,2023-02-24 01:27:46,30980,MOTO G22 4/128 AZUL,1.0,SUC. HIDALGO 2 (CELAYA),3878.4482,3878.45
58166,2023-02-24 01:22:30,25533,MOTO E20 2/32 AZUL,1.0,SUC. HIDALGO 2 (CELAYA),2499.1379,2499.14
58162,2023-02-24 01:18:49,26070,ZTE A51 2/64 AZUL KIT,1.0,SUC. CORREGIDORA 2 (QRO),2412.931,2412.93
58159,2023-02-24 01:18:16,25533,MOTO E20 2/32 AZUL,1.0,SUC. HIDALGO 2 (CELAYA),2499.1379,2499.14
58157,2023-02-24 01:13:06,39901,HONOR X7A 6/128 PLATA,1.0,SUC. HIDALGO 2 (CELAYA),4050.862,4050.86
58155,2023-02-24 01:03:10,25741,SAM A03S 4/64 AZUL,1.0,SUC. ALLENDE (CELAYA),2861.2068,2861.21
58153,2023-02-24 00:56:28,26579,MOTO G41 4/128 DORADO,1.0,SUC. ALLENDE (CELAYA),3619.8275,3619.83
58150,2023-02-24 00:45:35,25563,MOTO G60 6/128 PLATA,1.0,SUC. ALLENDE (CELAYA),4654.3103,4654.31
58146,2023-02-24 00:41:45,40120,SAM A23 4/64 BLANCO,1.0,SUC. CORREGIDORA 2 (QRO),4395.6896,4395.69
58145,2023-02-24 00:35:45,25533,MOTO E20 2/32 AZUL,1.0,SUC. ALLENDE (CELAYA),2068.1034,2068.1
58142,2023-02-23 23:50:55,25536,MOTO E40 4/64 ROSA,1.0,SUC. OBREGON (LEON),2844.8275,2844.83
58138,2023-02-23 23:30:07,30358,HONOR X6 4/64 PLATA,1.0,SUC. PARQUE (QRO),3102.58,3102.58
58135,2023-02-23 23:26:59,30980,MOTO G22 4/128 AZUL,1.0,SUC. GUERRERO (QRO),3878.45,3878.45
58132,2023-02-23 23:08:34,26585,MOTO G22 4/128 NEGRO,1.0,SUC. LA VICTORIA (QRO),3878.44827586,3878.45
58126,2023-02-23 22:53:11,30980,MOTO G22 4/128 AZUL,1.0,SUC. HIDALGO (CELAYA),4395.6896,4395.69
58120,2023-02-23 22:35:12,31487,SAM A23 4/64 AZUL,1.0,SUC. GUERRERO (QRO),4395.69,4395.69
58117,2023-02-23 22:31:51,39901,HONOR X7A 6/128 PLATA,1.0,SUC. CORREGIDORA 3 (QRO),4050.86206897,4050.86
58113,2023-02-23 21:58:30,26671,HONOR X8 6/128 PLATA,1.0,SUC. PARQUE (QRO),4481.89,4481.89
58109,2023-02-23 20:43:05,26579,MOTO G41 4/128 DORADO,1.0,SUC. CORREGIDORA 2 (QRO),3619.83,3619.83
58106,2023-02-23 20:37:59,29506,HONOR X7 4/128 AZUL,1.0,SUC. GUERRERO (QRO),3964.6551,3964.66
58102,2023-02-23 19:05:51,30357,HONOR X6 4/64 AZUL,1.0,SUC. ALLENDE (QRO),3102.5862,3102.59
58098,2023-02-23 18:55:56,40122,MOTO G62 4/128 AZUL,1.0,SUC. ALLENDE (QRO),4654.3103,4654.31
58095,2023-02-23 18:37:25,31500,SAM A04E 3/64 NEGRO,1.0,SUC. PLAZA MAYOR (LEON),2585.34724138,2585.35
58087,2023-02-23 17:13:54,26671,HONOR X8 6/128 PLATA,1.0,SUC. BOULEVARES (QRO),4481.9,4481.9
58084,2023-02-23 03:11:04,30357,HONOR X6 4/64 AZUL,1.0,SUC. ANTEA (QRO),3102.59,3102.59
58080,2023-02-23 02:08:32,26561,MOTO G71-5G 6/128 AZUL,1.0,SUC. VIA ALTA SUR (LEON),5257.76,5257.76
58079,2023-02-23 02:04:54,30106,SAM A33 6/128 DURAZNO,1.0,SUC. ALLENDE (QRO),6766.38,6766.38
58075,2023-02-23 02:04:10,30597,SAM A04 3/32 NEGRO KIT,1.0,SUC. ALAMEDA (QRO),2757.76,2757.76
58070,2023-02-23 02:00:06,39900,HONOR X7A 6/128 AZUL,1.0,SUC. ALAMEDA (QRO),4050.86448276,4050.86
58067,2023-02-23 01:55:50,26730,HONOR X8 6/128 NEGRO,1.0,SUC. ALAMEDA (QRO),4481.9,4481.9
58063,2023-02-23 01:55:28,29339,SAM A13 4/64 AZUL,1.0,SUC. MADERO (LEON),3619.83,3619.83
58059,2023-02-23 01:54:45,30356,HONOR X6 4/64 NEGRO,1.0,SUC. ALLENDE (QRO),3102.59,3102.59
58057,2023-02-23 01:49:55,25536,MOTO E40 4/64 ROSA,1.0,SUC. CORREGIDORA 4 (QRO),2843.97,2843.97
58053,2023-02-23 01:41:02,29337,SAM A53 6/128 NEGRO,1.0,SUC. ANDADOR (CELAYA),8188.7931,8188.79
58049,2023-02-23 01:36:36,26575,SAM A33 6/128 BLANCO,1.0,SUC. OBREGON (LEON),6724.13793103,6724.14
58046,2023-02-23 01:32:44,25533,MOTO E20 2/32 AZUL,1.0,SUC. LEON CENTRO (LEON),2068.10344828,2068.1
58043,2023-02-23 01:28:40,31487,SAM A23 4/64 AZUL,1.0,SUC. LEON CENTRO (LEON),4395.69,4395.69
58040,2023-02-23 01:18:10,28971,MOTO G52 6/256 BLANCO,1.0,SUC. ALAMEDA (QRO),5861.21,5861.21
58037,2023-02-23 01:16:30,31498,SAM A04E 3/64 AZUL,1.0,SUC. ALAMEDA (QRO),2585.34724138,2585.35
58030,2023-02-23 01:02:39,25535,MOTO E40 4/64 GRIS,1.0,SUC. CORREGIDORA 2 (QRO),2843.97,2843.97
58033,2023-02-23 01:14:01,30106,SAM A33 6/128 DURAZNO,1.0,SUC. CORREGIDORA 2 (QRO),6766.38,6766.38
58026,2023-02-23 00:50:57,26730,HONOR X8 6/128 NEGRO,1.0,SUC. CORREGIDORA 2 (QRO),4481.9,4481.9
58023,2023-02-23 00:40:16,29340,SAM A13 4/64 BLANCO,1.0,SUC. VIA ALTA SUR (LEON),3619.83,3619.83
58021,2023-02-23 00:26:40,25738,SAM A03 4/64 ROJO,1.0,SUC. PARQUE (QRO),2757.76,2757.76
58018,2023-02-23 00:16:29,25741,SAM A03S 4/64 AZUL,1.0,SUC. VIA ALTA SUR (LEON),2861.20931034,2861.21
58015,2023-02-23 00:10:58,27129,MOTO G60 4/128 PLATA,1.0,SUC. LEON CENTRO (LEON),4395.69,4395.69
58012,2023-02-23 00:10:42,25741,SAM A03S 4/64 AZUL,1.0,SUC. ALLENDE (CELAYA),2930.1724,2930.17
58008,2023-02-23 00:08:01,26671,HONOR X8 6/128 PLATA,1.0,SUC. CORREGIDORA 4 (QRO),4481.9,4481.9
58004,2023-02-22 23:52:01,30357,HONOR X6 4/64 AZUL,1.0,SUC. ALAMEDA (QRO),3102.59,3102.59
58001,2023-02-22 23:39:10,30564,HONOR X6S 4/128 PLATA,1.0,SUC. MAYOREO (QRO),3275.0,3275.0
57997,2023-02-22 23:31:33,39900,HONOR X7A 6/128 AZUL,1.0,SUC. MAYOREO (QRO),4137.06896551,4137.07
57994,2023-02-22 23:15:56,31500,SAM A04E 3/64 NEGRO,1.0,SUC. ALAMEDA (QRO),2585.34724138,2585.35
57991,2023-02-22 23:10:31,26578,MOTO G41 4/128 NEGRO,1.0,SUC. ALAMEDA (QRO),3619.83,3619.83
57988,2023-02-22 22:53:48,39901,HONOR X7A 6/128 PLATA,1.0,SUC. HIDALGO (CELAYA),4137.06896552,4137.07
57985,2023-02-22 22:50:50,40121,MOTO G62 4/128 GRIS,1.0,SUC. HIDALGO (CELAYA),4654.31,4654.31
57982,2023-02-22 22:39:50,31500,SAM A04E 3/64 NEGRO,1.0,SUC. GUERRERO (QRO),2585.34724138,2585.35
57980,2023-02-22 21:39:52,25533,MOTO E20 2/32 AZUL,1.0,SUC. CORREGIDORA 4 (QRO),2068.11,2068.11
57977,2023-02-22 21:31:16,25738,SAM A03 4/64 ROJO,1.0,SUC. LEON CENTRO (LEON),2757.76,2757.76
57974,2023-02-22 21:31:00,39901,HONOR X7A 6/128 PLATA,1.0,SUC. PLAZA PATIO (QRO),4050.86448276,4050.86
57971,2023-02-22 21:24:46,25737,SAM A03 4/64 NEGRO,1.0,SUC. LEON CENTRO (LEON),2757.76,2757.76
57969,2023-02-22 20:12:45,26579,MOTO G41 4/128 DORADO,1.0,SUC. CORREGIDORA 4 (QRO),3619.83,3619.83
57966,2023-02-22 20:05:01,26671,HONOR X8 6/128 PLATA,1.0,SUC. CORREGIDORA 3 (QRO),4481.9,4481.9
57963,2023-02-22 19:56:04,31052,XIAOMI POCO-M5 4/128 NEGRO,1.0,SUC. ANTEA (QRO),3706.04,3706.04
57949,2023-02-22 18:17:18,26565,SAM A03S 4/64 AZUL KIT,1.0,SUC. ALLENDE (QRO),2516.37,2516.37
57933,2023-02-22 03:09:06,26585,MOTO G22 4/128 NEGRO,1.0,SUC. ALLENDE (QRO),3879.31034483,3879.31
57930,2023-02-22 03:01:42,25533,MOTO E20 2/32 AZUL,1.0,SUC. ALLENDE (QRO),2068.96551724,2068.97
57856,2023-02-21 23:04:59,30357,HONOR X6 4/64 AZUL,1.0,SUC. ALLENDE (QRO),3102.59,3102.59
57923,2023-02-22 02:21:30,31225,MOTO E22I 2/64 BLANCO KIT,1.0,SUC. LEON CENTRO (LEON),2930.17482759,2930.17
57920,2023-02-22 02:16:09,30564,HONOR X6S 4/128 PLATA,1.0,SUC. LEON CENTRO (LEON),3188.8,3188.8
57917,2023-02-22 02:12:02,30597,SAM A04 3/32 NEGRO KIT,1.0,SUC. LEON CENTRO (LEON),2757.76,2757.76
57914,2023-02-22 02:05:33,25535,MOTO E40 4/64 GRIS,1.0,SUC. LEON CENTRO (LEON),2843.97,2843.97
57911,2023-02-22 01:55:44,31225,MOTO E22I 2/64 BLANCO KIT,1.0,SUC. PARQUE (CELAYA),2930.17482759,2930.17
